Company Names,Cars Names,Engines,Battery Capacity_CC,HorsePower_hp,Total Speed_km/h,Performance(0 - 100 )KM/H,Fuel Types,Seats,Torque_Nm,Cars Prices_USD
KIA,SPORTAGE 2024(SX TURBO AWD),I4,"1,998 cc",240 hp,210 km/h,6.5 sec,Petrol,5,400 Nm,"$40,000"
KIA,SPORTAGE 2024(SX TURBO AWD),I4,"1,998 cc",240 hp,210 km/h,6.5 sec,AWD,5,400 Nm,"$40,000"
KIA,SPORTAGE 2024(BASE FWD),I4,"2,480 cc",187 hp,200 km/h,8.5 sec,Petrol,5,250 Nm,"$26,500"
HONDA,CR-V,I4,"1,498 cc",190 hp,186 km/h,8.2 sec,Petrol,5,400 Nm,"$30,000"
HONDA,CR-V,I4,"1,498 cc",190 hp,186 km/h,8.2 sec,Hybrid,5,400 Nm,"$30,000"
HONDA,PILOT,V6,"3,471 cc",285 hp,209 km/h,6.3 sec,Petrol,8,360 Nm,"$40,000"
HONDA,CIVIC HATCHBACK,I4,"1,498 cc",180 hp,220 km/h,6.8 sec,Petrol,5,300 Nm,"$26,350"
TOYOTA,CAMRY,V6,"3,500 cc",301 hp,220 km/h,6.0 sec,Petrol,5,250 Nm,"$27,000"
TOYOTA,CAMRY,V6,"3,500 cc",301 hp,220 km/h,6.0 sec,Hybrid,5,250 Nm,"$27,000"
TOYOTA,COROLLA,I4,"1,798 cc",139 hp,180 km/h,9.4 sec,Petrol,5,200 Nm,"$22,500"
TOYOTA,COROLLA,I4,"1,798 cc",139 hp,180 km/h,9.4 sec,Hybrid,5,200 Nm,"$22,500"
TOYOTA,PRIUS,I4,"1,798 cc",121 hp,180 km/h,10.5 sec,Hybrid,5,142 Nm,"$26,700"
TOYOTA,RAV4,I4,"2,494 cc",203 hp,200 km/h,8.1 sec,Petrol,5,400 Nm,"$27,100"
TOYOTA,RAV4,I4,"2,494 cc",203 hp,200 km/h,8.1 sec,Hybrid,5,400 Nm,"$27,100"
TOYOTA,HIGHLANDER,V6,"3,456 cc",295 hp,220 km/h,7.2 sec,Petrol,7,370 Nm,"$38,400"
TOYOTA,HIGHLANDER,V6,"3,456 cc",295 hp,220 km/h,7.2 sec,Hybrid,7,370 Nm,"$38,400"
TOYOTA,4RUNNER,V6,"3,956 cc",270 hp,200 km/h,7.5 sec,Petrol,5,400 Nm,"$37,400"
TOYOTA,TACOMA,I4,"2,694 cc",159 hp,180 km/h,9.5 sec,Petrol,5,400 Nm,"$26,400"
TOYOTA,TUNDRA,V8,"5,663 cc",381 hp,220 km/h,6.7 sec,Petrol,5,650 Nm,"$39,900"
TOYOTA,AVALON,V6,"3,456 cc",301 hp,220 km/h,6.9 sec,Petrol,5,400 Nm,"$41,400"
TOYOTA,MIRAI,I4,"1,798 cc",151 hp,180 km/h,9.2 sec,Hydrogen,5,335 Nm,"$52,400"
TOYOTA,SIENNA,V6,"2,494 cc",245 hp,190 km/h,8.0 sec,Petrol,7,360 Nm,"$44,150"
TOYOTA,SIENNA,V6,"2,494 cc",245 hp,190 km/h,8.0 sec,Hybrid,7,360 Nm,"$44,150"
TOYOTA,VENZA,I4,"2,494 cc",219 hp,200 km/h,7.5 sec,Hybrid,5,400 Nm,"$33,400"
TOYOTA,HIGHLANDER HYBRID,V6,"3,456 cc",240 hp,220 km/h,8.2 sec,Hybrid,7,350 Nm,"$40,400"
TOYOTA,LAND CRUISER PRADO,V6,"3,956 cc",282 hp,200 km/h,7.2 sec,Petrol,7,450 Nm,"$49,400"
TOYOTA,LAND CRUISER PRADO,V6,"3,956 cc",282 hp,200 km/h,7.2 sec,Diesel,7,450 Nm,"$49,400"
TOYOTA,TUNDRA HYBRID,V6,"3,456 cc",344 hp,220 km/h,6.2 sec,Hybrid,5,650 Nm,"$43,400"
TOYOTA,YARIS,I4,"1,496 cc",106 hp,180 km/h,11.2 sec,Petrol,5,150 Nm,"$18,400"
TOYOTA,C-HR,I4,"1,986 cc",144 hp,200 km/h,10.2 sec,Petrol,5,250 Nm,"$24,400"
TOYOTA,C-HR,I4,"1,986 cc",144 hp,200 km/h,10.2 sec,Hybrid,5,250 Nm,"$24,400"
TOYOTA,BZ4X,ELECTRIC,"64.8 kwh (Base Model),72.8 kwh (Higher End Model",218 hp,200 km/h,7.5 sec,Electric,5,330 Nm,"$43,400"
TOYOTA,CROWN,HYBRID,"2,494 cc",236 hp,200 km/h,7.6 sec,Hybrid,5,400 Nm,"$38,400"
TOYOTA,MR2,I4,"1,986 cc",168 hp,200 km/h,6.9 sec,Petrol,2,400 Nm,"$29,000"
TOYOTA,CELICA,I4,"1,986 cc",140 hp,200 km/h,8.5 sec,Petrol,5,250 Nm,"$25,000"
HONDA,CITY,I4,"1,497 cc",119 hp,180 km/h,10.2 sec,Petrol,5,145 Nm,"$15,400"
HONDA,CITY,I4,"1,497 cc",119 hp,180 km/h,10.2 sec,Hybrid,5,145 Nm,"$15,400"
HONDA,CIVIC,I4,"1,996 cc",158 hp,200 km/h,8.5 sec,Petrol,5,400 Nm,"$20,400"
HYUNDAI,I10,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",87 hp,160 km/h,12.2 sec,Petrol,5,120 Nm,"$12,400"
HYUNDAI,I20,"1.4L,4-CYLINDER,INLINE-4(I4)","1,396 cc",99 hp,180 km/h,10.5 sec,Petrol,5,250 Nm,"$15,400"
HYUNDAI,I20,"1.4L,4-CYLINDER,INLINE-4(I4)","1,396 cc",99 hp,180 km/h,10.5 sec,Hybrid,5,250 Nm,"$15,400"
HYUNDAI,ELANTRA,"2.0L,4-CYLINDER,INLINE-4(I4)","1,999 cc",147 hp,200 km/h,9.5 sec,Petrol,5,250 Nm,"$18,400"
HYUNDAI,ELANTRA,"2.0L,4-CYLINDER,INLINE-4(I4)","1,999 cc",147 hp,200 km/h,9.5 sec,Hybrid,5,250 Nm,"$18,400"
MAHINDRA,XUV500,"2.2L,4-CYLINDER,INLINE-4(I4)","2,179 cc",155 hp,180 km/h,10.5 sec,Diesel,7,400 Nm,"$18,400"
MAHINDRA,SCORPIO,"2.2L,4-CYLINDER,INLINE-4(I4)","2,179 cc",140 hp,160 km/h,11.2 sec,Diesel,7,280 Nm,"$16,400"
MAHINDRA,THAR,"2.0L,4-CYLINDER,INLINE-4(I4)","1,997 cc",150 hp,180 km/h,10.5 sec,Petrol,4,320 Nm,"$20,400"
MAHINDRA,THAR,"2.0L,4-CYLINDER,INLINE-4(I4)","1,997 cc",150 hp,180 km/h,10.5 sec,Diesel,4,320 Nm,"$20,400"
MARUTI SUZUKI,SWIFT,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",83 hp,160 km/h,12.2 sec,Petrol,5,113 Nm,"$10,400"
MARUTI SUZUKI,DZIRE,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",83 hp,160 km/h,12.2 sec,Petrol,5,113 Nm,"$11,400"
MARUTI SUZUKI,DZIRE,"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",83 hp,160 km/h,12.2 sec,Diesel,5,113 Nm,"$11,400"
MARUTI SUZUKI,BREZZA,"1.5L,4-CYLINDER,INLINE(I4)","1,462 cc",103 hp,180 km/h,11.5 sec,Petrol,5,200 Nm,"$14,400"
TOYOTA,PRIUS PRIME,"2.0L,4-CYLINDER,WITH HYBRID SYSTEM","1,998 cc",220 hp,180 km/h,6.7 sec,Plug-in Hybrid,5,220 Nm,"$31,100"
TOYOTA,GR COROLLA,"1.6L,TURBOCHARGED INLINE-3","1,618 cc",300 hp,230 km/h,5. 0 sec,Petrol,5,370 Nm,"$36,995"
TOYOTA,LAND CRUISER 300,"3.3L,V6,TWIN TURBO DIESEL","3,346 cc",305 hp,210 km/h,6.8 sec,Petrol,7,650 Nm,"$58,500"
TOYOTA,LAND CRUISER 301,"3.3L,V6,TWIN TURBO DIESEL","3,346 cc",305 hp,210 km/h,6.8 sec,Diesel,7,650 Nm,"$58,500"
TOYOTA,TUNDRA I-FORCE MAX,"3.5L,V6,HYBRID TWIN-TURBO","3,445 cc",437 hp,180 km/h,6.2 sec,Hybrid,5,750 Nm,"$56,000"
TOYOTA,COROLLA HATCHBACK XSE,"2.0L,INLINE-4","1,987 cc",169 hp,190 km/h,8.2 sec,Petrol,5,250 Nm,"$25,390"
TOYOTA,MIRAI,"HYDROGEN FUEL CELL,ELECTRIC MOTOR",1.24 kwh,152 hp,180 km/h,9.0 sec,Hydrogen,5,335 Nm,"$49,500"
TOYOTA,HILUX GR SPORT,"2.8L,TURBO,DIESEL","2,755 cc",224 hp,170 km/h,10.0 sec,Petrol,5,500 Nm,"$50,000"
TOYOTA,HILUX GR SPORT,"2.8L,TURBO,DIESEL","2,755 cc",224 hp,170 km/h,10.0 sec,Diesel,5,500 Nm,"$50,000"
TOYOTA,ALPHARD EXECUTIVE LOUNGE,"2.5L,INLINE-4,HYBRID,OR 3.5L,V6","HYBRID(2,494 cc),V6(3,456 cc)",296 hp,180 km/h,8.5 sec,Petrol,7,400 Nm,"$60,000"
TOYOTA,FORTUNER GR SPORT,"2.8L,TURBO,DIESEL","2,755 cc",204 hp,175 km/h,10.5 sec,Diesel,7,500 Nm,"$55,000"
TOYOTA,FORTUNER GR SPORT,"2.8L,TURBO,DIESEL","2,755 cc",204 hp,175 km/h,10.5 sec,Petrol,7,500 Nm,"$55,000"
TOYOTA,INNOVA HYCROSS,2.0L HYBRID,"1,987 cc",184 hp,165 km/h,9.5 sec,Hybrid,7,250 Nm,"$40,000"
TOYOTA,COASTER,"4.0L,DIESEL","4,009 cc",134 hp,120 km/h,NA,Diesel,20,500 Nm,"$70,000"
TOYOTA,URBAN CRUISER TAISOR,"1.5L,HYBRID","1,490 cc",114 hp,170 km/h,11 sec,Petrol,5,130 Nm,"$25,000"
TOYOTA,AYGO X,"1.0L,INLINE-3",998 cc,71 hp,160 km/h,14.8 sec,Petrol,4,93 Nm,"$18,000"
TOYOTA,HILUX REVO ROCCO,"2.8L,TURBO,DIESEL","2,755 cc",204 hp,175 km/h,10.0 sec,Diesel,5,500 Nm,"$50,000"
TOYOTA,PROACE VERSO ELECTRIC,ELECTRIC MOTOR,75 KWH,136 hp,130 km/h,13.5 sec,Electric,7,280 Nm,"$55,000"
TOYOTA,CENTURY SUV,"3.5L,V6,PLUG IN HYBRID","3,456 cc",406 hp,200 km/h,6.0 sec,Petrol,5,500 Nm,"$170,000"
TOYOTA,COROLLA SEDAN HYBRID,"1.8L,HYBRID","1,798 cc",134 hp,180 km/h,10.0 sec,Hybrid,5,300 Nm,"$24,000"
TOYOTA,BZ3,ELECTRIC MOTOR,65 KWH,241 hp,160 km/h,7.5 sec,Electric,5,340 Nm,"$35,000"
TOYOTA,GR YARIS,"1.6L,TURBOCHARGED INLINE-3","1,618 cc",268 hp,230 km/h,5.5 sec,Petrol,4,390 Nm,"$45,000"
HYUNDAI,SANTA FE,1.6L PETROL + PLUG IN HYBRID SYSTEM,"1,600 cc",253 hp,180 km/h,9.3 sec,Petrol,7,420 Nm,"$50,000"
HYUNDAI,SANTA FE,1.6L PETROL + PLUG IN HYBRID SYSTEM,"1,600 cc",253 hp,180 km/h,9.3 sec,Hybrid,7,420 Nm,"$50,000"
HYUNDAI,IONIQ 5,ELECTRIC MOTOR,72.6 KWH,225 hp,185 km/h,7.4 sec,Electric,5,350 Nm,"$41,000"
HYUNDAI,Santa Cruz,2.5L Turbocharged Inline-4,"2,500 cc",281 hp,215 km/h,6.5 sec,Petrol,5,400 Nm,"$40,799"
HYUNDAI,Kona,1.6L PETROL,"1,591 cc",147 hp,185 km/h,10. 5 sec,Petrol,5,400 Nm,"$20,500"
HYUNDAI,Kona,1.6L PETROL,"1,591 cc",147 hp,185 km/h,10. 5 sec,EV,5,400 Nm,"$20,500"
HYUNDAI,Elantra,2.0L Inline-4,"2,000 cc",147 hp,210 km/h,8.3 sec,Petrol,5,250 Nm,"$19,950"
HYUNDAI,Elantra,2.0L Inline-4,"2,000 cc",148 hp,210 km/h,8.3 sec,Hybrid,5,250 Nm,"$19,950"
Nissan,Urvan,2.5L Turbo Diese,"2,000 cc",2488 cc,140 km/h,14.0 sec,Diesel,15,356 Nm,"$28,000"
HYUNDAI,IONIQ 6,Electric Motor,53.6 kwh(Standard Range) ,320 hp,185 km/h,5.2 sec,Electric,5,350 Nm,"$41,450"
HYUNDAI,IONIQ 6,Electric Motor, 77.4 kwh(Long Range),320 hp,185 km/h,5.2 sec,Electric,5,350 Nm,"$41,450"
HYUNDAI,Tucson,2.5L Inline-4,"2,500 cc",187 hp,180 km/h,6.1 sec,Petrol,5,400 Nm,"$30,500"
HYUNDAI,Tucson,2.5L Inline-4,"2,500 cc",187 hp,180 km/h,6.1 sec,Hybrid,5,400 Nm,"$30,500"
HYUNDAI,Palisade,3.8L V6,"3,800 cc",291 hp,240 km/h,6.3 sec,Petrol,7,355 Nm,"$52,000"
HYUNDAI,Sonata,2.5L Inline-4,"2,500 cc",191 hp,240 km/h,8 sec,Petrol,5,250 Nm,"$25,000"
HYUNDAI,Sonata,2.5L Inline-5,"2,500 cc",191 hp,240 km/h,8sec,Hybrid,5,250 Nm,"$25,000"
HYUNDAI,Accent,1.6L Inline-4,"1,600 cc",120 hp,180 km/h,9.8 sec,Petrol,5,151 Nm,"$15,000"
HYUNDAI,Venue,1.6L Inline-4,"1,600 cc",121 hp,180 km/h,9.5 sec,Petrol,5,240 Nm,"$18,000"
HYUNDAI,KONA Electric,Electric Motor,39.2 kwh,200 hp,200 km/h,6.1 sec,Electric,5,395 Nm,"$40,000"
HYUNDAI,Veloster,2.0L Inline-4,"2,000 cc",275 hp,220 km/h,6 sec,Petrol,4,264 Nm,"$25,000"
HYUNDAI,NEXO,Electric Motor,1.56 kwh,161 hp,180 km/h,7.8 sec,Hydrogen,5,400 Nm,"$38,000"
HYUNDAI,Ioniq,1.6L Inline-4,"1,600 cc",139 hp,160 km/h,8.5 sec,Hybrid,5,295 Nm,"$18,000"
HYUNDAI,Ioniq,1.6L Inline-4,"1,600 cc",139 hp,160 km/h,8.5 sec,Electric,5,295 Nm,"$18,000"
HYUNDAI,Genesis,3.8L V6,"3,800 cc",291 hp,240 km/h,6.3 sec,Petrol,5,400 Nm,"$52,000"
HYUNDAI,Azera,3.3L V6,"3,300 cc",278 hp,240 km/h,6.5 sec,Petrol,5,250 Nm,"$55,000"
HYUNDAI,Equus,3.3L V6,"3,300 cc",278 hp,240 km/h,6.5 sec,Petrol,5,400 Nm,"$55,000"
HYUNDAI,Tiburon,2.0L Inline-4,"2,000 cc",160 hp,200 km/h,8.2 sec,Petrol,4,320 Nm,"$19,000"
HYUNDAI,Elantra GT,1.6L Turbo GDI 4-cylinder,"2,000 cc",160 hp,200 km/h,8.3 sec,Petrol,5,320 Nm,"$22,000"
Volkswagen,Golf,1.5L Turbo I4 ,1498 cc ,110 - 320 hp,210 km/h,8.5 sec,Petrol,5,250 Nm,"$23,000"
Volkswagen,Golf, Electric,1498 cc,110 - 320 hp,210 km/h,8.5 sec,Petrol,5,250 Nm,"$23,000"
Volkswagen,Golf,1.5L Turbo I4 , 40 - 58 kWh,110 - 320 hp,210 km/h,8.5 sec,Petrol,5,250 Nm,"$23,000"
Volkswagen,Golf, Electric, 40 - 58 kWh,110 - 320 hp,210 km/h,8.5 sec,Petrol,5,250 Nm,"$23,000"
Volkswagen,Passat,2.0L Turbo I4,1984 cc,150 - 280 hp,210 km/h,7.8 sec,Petrol,5,250 Nm,"$25,000"
Volkswagen,Tiguan,2.0L Turbo I4,1984 cc,150 - 230 hp,209 km/h,8.5 sec,Petrol,7,300 Nm,"$28,505"
Volkswagen,Tiguan,2.0L Turbo I4,1984 cc,150 - 230 hp,209 km/h,8.5 sec, Hybrid,7,300 Nm,"$28,505"
Volkswagen,Jetta,1.5L Turbo I4,1498 cc,150 - 228 hp,210 km/h,7.7 sec,Petrol,5,250 Nm,"$21,995"
Volkswagen,Polo,1.0L Turbo I3 ,999 cc ,80 - 200 hp,190 km/h,9.5 sec,Petrol,5,175 Nm,"$18,000"
Volkswagen,Polo, 1.6L Diesel,999 cc,80 - 200 hp,190 km/h,9.5 sec,Petrol,5,175 Nm,"$18,000"
Volkswagen,Polo,1.0L Turbo I3 , 1598 cc,80 - 200 hp,190 km/h,9.5 sec,Petrol,5,175 Nm,"$18,000"
Volkswagen,Polo, 1.6L Diesel, 1598 cc,80 - 200 hp,190 km/h,9.5 sec,Petrol,5,175 Nm,"$18,000"
Volkswagen,Arteon,2.0L Turbo I4,1984 cc,150 - 280 hp,250 km/h,5.6 sec,Petrol,5,350 Nm,"$46,000"
Volkswagen,ID.4,Electric,77 kWh,201 - 302 hp,160 km/h,7.8 sec,Electric,5,310 Nm,"$39,735"
Volkswagen,Up!,Electric,32.3 kWh,82 hp,160 km/h,13.0 sec,Petrol,4,95 Nm,"$15,000"
Volkswagen,Touareg,3.0L V6 Turbo Diesel ,2967 cc ,231 - 500 hp,235 km/h,5.9 sec,Petrol,5,600 Nm,"$55,000"
Volkswagen,Touareg, 4.0L V8,2967 cc,231 - 500 hp,235 km/h,5.9 sec,Petrol,5,600 Nm,"$55,000"
Volkswagen,Touareg,3.0L V6 Turbo Diesel ,2967 cc,231 - 500 hp,235 km/h,5.9 sec, Diesel,5,600 Nm,"$55,000"
Volkswagen,Touareg, 4.0L V8,2967 cc,231 - 500 hp,235 km/h,5.9 sec, Diesel,5,600 Nm,"$55,000"
Volkswagen,Touareg,3.0L V6 Turbo Diesel , 3956 cc,231 - 500 hp,235 km/h,5.9 sec,Petrol,5,600 Nm,"$55,000"
Volkswagen,Touareg, 4.0L V9, 3956 cc,231 - 500 hp,235 km/h,5.9 sec,Petrol,5,600 Nm,"$55,000"
Volkswagen,Touareg,3.0L V6 Turbo Diesel , 3956 cc,231 - 500 hp,235 km/h,5.9 sec, Diesel,5,600 Nm,"$55,000"
Volkswagen,Touareg, 4.0L V9, 3956 cc,231 - 500 hp,235 km/h,5.9 sec, Diesel,5,600 Nm,"$55,000"
Volkswagen,Scirocco,2.0L Turbo I4,1984 cc,125 - 280 hp,233 km/h,6.0 sec,Petrol,4,350 Nm,"$35,000"
Volkswagen,Beetle,2.0L Turbo I4,1984 cc,105 - 210 hp,205 km/h,7.0 sec,Petrol,4,240 Nm,"$20,000"
Volkswagen,Amarok,3.0L V6 Turbo Diesel,2967 cc,163 - 258 hp,180 km/h,7.9 sec,Diesel,5,550 Nm,"$40,000"
Volkswagen,T-Roc,2.0L Turbo I4,1984 cc,115 - 300 hp,205 km/h,7.2 sec,Petrol,5,320 Nm,"$30,000"
Volkswagen,Sharan,2.0L Turbo I4,1984 cc,150 - 220 hp,200 km/h,9.3 sec,Petrol,7,280 Nm,"$33,000"
Volkswagen,Sharan,2.0L Turbo I4,1984 cc,150 - 220 hp,200 km/h,9.3 sec, Diesel,7,280 Nm,"$33,000"
Volkswagen,Caddy,1.5L Turbo I4,1498 cc,102 - 150 hp,185 km/h,10.5 sec,Petrol,7,250 Nm,"$28,000"
Volkswagen,Caddy,1.5L Turbo I4,1496 cc,102 - 150 hp,185 km/h,10.5 sec, Diesel,7,250 Nm,"$28,000"
Nissan,NV1500,4.0L V6,3954 cc,261 hp,160 km/h,9.5 sec,Petrol,12,385 Nm,"$33,000"
Volkswagen,Taigo,1.5L Turbo I4,1498 cc,95 - 150 hp,183 km/h,10.0 sec,Petrol,5,200 Nm,"$24,000"
Volkswagen,California,2.0L Turbo I4,1984 cc,150 - 204 hp,180 km/h,13.0 sec,Diesel,7,340 Nm,"$70,000"
Volkswagen,ID.3,Electric,58 - 77 kWh,204 hp,160 km/h,7.3 sec,Electric,5,310 Nm,"$35,000"
Volkswagen,ID. Buzz,Electric,77 kWh,204 hp,145 km/h,10.2 sec,Electric,7,310 Nm,"$59,995"
Volkswagen,Golf GTI,2.0L Turbo I4,1984 cc,245 hp,250 km/h,5.9 sec,Petrol,5,350 Nm,"$31,965"
Volkswagen,Golf R,2.0L Turbo I4,1984 cc,315 hp,250 km/h,4.6 sec,Petrol,5,420 Nm,"$44,640"
Volkswagen,Passat Alltrack,2.0L Turbo Diesel I4,1968 cc,190 - 240 hp,220 km/h,7.8 sec,Diesel,5,400 Nm,"$36,000"
Volkswagen,Polo GTI,2.0L Turbo I4,1984 cc,204 hp,238 km/h,6.7 sec,Petrol,5,320 Nm,"$28,000"
Volkswagen,Up! GTI,1.0L Turbo I3,999 cc,115 hp,196 km/h,8.8 sec,Petrol,4,200 Nm,"$20,000"
Volkswagen,T-Cross,1.0L Turbo I3 ,999 cc ,95 - 150 hp,200 km/h,10.2 sec,Petrol,5,250 Nm,"$25,000"
Volkswagen,T-Cross, 1.5L Turbo I4,999 cc,95 - 150 hp,200 km/h,10.2 sec,Petrol,5,250 Nm,"$25,000"
Volkswagen,T-Cross,1.0L Turbo I3 , 1498 cc,95 - 150 hp,200 km/h,10.2 sec,Petrol,5,250 Nm,"$25,000"
Volkswagen,T-Cross, 1.5L Turbo I5, 1498 cc,95 - 150 hp,200 km/h,10.2 sec,Petrol,5,250 Nm,"$25,000"
Volkswagen,ID.5,Electric,77 kWh,174 - 299 hp,180 km/h,8.4 sec,Electric,5,310 Nm,"$45,000"
Volkswagen,ID. Buzz Cargo,Electric,77 kWh,204 hp,145 km/h,10.2 sec,Electric,3,310 Nm,"$55,000"
Volkswagen,Touareg R,Plug-in Hybrid V6,2995 cc,462 hp,250 km/h,5.1 sec,Hybrid,5,700 Nm,"$70,000"
Volkswagen,Multivan,Plug-in Hybrid ,1395 cc ,150 - 218 hp,190 km/h,9.4 sec,Petrol,7,350 Nm,"$50,000"
Volkswagen,Multivan, Diesel I4,1395 cc,150 - 218 hp,190 km/h,9.4 sec,Petrol,7,350 Nm,"$50,000"
Volkswagen,Multivan,Plug-in Hybrid ,1395 cc,150 - 218 hp,190 km/h,9.4 sec, Hybrid,7,350 Nm,"$50,000"
Volkswagen,Multivan, Diesel I5,1395 cc,150 - 218 hp,190 km/h,9.4 sec, Hybrid,7,350 Nm,"$50,000"
Volkswagen,Multivan,Plug-in Hybrid , 1968 cc,150 - 218 hp,190 km/h,9.4 sec,Petrol,7,350 Nm,"$50,000"
Volkswagen,Multivan, Diesel I5, 1968 cc,150 - 218 hp,190 km/h,9.4 sec,Petrol,7,350 Nm,"$50,000"
Volkswagen,Multivan,Plug-in Hybrid , 1968 cc,150 - 218 hp,190 km/h,9.4 sec, Hybrid,7,350 Nm,"$50,000"
Volkswagen,Multivan, Diesel I6, 1968 cc,150 - 218 hp,190 km/h,9.4 sec, Hybrid,7,350 Nm,"$50,000"
Volkswagen,Polo BlueMotion,1.2L Diesel I3,1199 cc,75 - 95 hp,190 km/h,10.5 sec,Diesel,5,250 Nm,"$22,000"
Volkswagen,Golf Sportsvan,1.5L Turbo I4,1498 cc,130 - 150 hp,210 km/h,8.9 sec,Petrol,5,250 Nm,"$30,000"
Volkswagen,Golf Alltrack,2.0L Turbo Diesel I4,1968 cc,147 - 200 hp,210 km/h,7.1 sec,Petrol,5,350 Nm,"$35,000"
Volkswagen,Scirocco R,2.0L Turbo I4,1984 cc,280 hp,250 km/h,5.5 sec,Petrol,4,350 Nm,"$40,000"
Volkswagen,Tiguan Allspace,2.0L Turbo I4,1984 cc,184 - 230 hp,215 km/h,7.6 sec,Petrol,7,320 Nm,"$35,000"
Volkswagen,Arteon 4MOTION,2.0L Turbo I4,1984 cc,190 - 320 hp,250 km/h,5.6 sec,Petrol,5,350 Nm,"$48,000"
Volkswagen,ID.4 GTX,Electric AWD,77 kWh,299 hp,180 km/h,6.2 sec,Electric,5,460 Nm,"$50,000"
Volkswagen,ID.3 Pro,Electric,58 kWh,204 hp,160 km/h,7.3 sec,Electric,5,310 Nm,"$35,000"
Volkswagen,Golf Variant,1.5L Turbo I4 ,1498 cc ,130 - 150 hp,220 km/h,7.5 sec,Petrol,5,320 Nm,"$32,000"
Volkswagen,Golf Variant, 2.0L Diesel I4,1498 cc,130 - 150 hp,220 km/h,7.5 sec,Petrol,5,320 Nm,"$32,000"
Volkswagen,Golf Variant,1.5L Turbo I4 , 1968 cc,130 - 150 hp,220 km/h,7.5 sec,Petrol,5,320 Nm,"$32,000"
Volkswagen,Golf Variant, 2.0L Diesel I5, 1968 cc,130 - 150 hp,220 km/h,7.5 sec,Petrol,5,320 Nm,"$32,000"
Volkswagen,Crafter,2.0L Turbo Diesel I4,1968 cc,102 - 177 hp,160 km/h,13.0 sec,Diesel,3,410 Nm,"$40,000"
Volkswagen,Lupo,1.4L I3 Gas ,1390 cc ,60 - 75 hp,170 km/h,14.3 sec,Petrol,4,120 Nm,"$15,000"
Volkswagen,Lupo, 1.2L Diesel I3,1390 cc,60 - 75 hp,170 km/h,14.3 sec,Petrol,4,120 Nm,"$15,000"
Volkswagen,Lupo,1.4L I3 Gas , 1199 cc,60 - 75 hp,170 km/h,14.3 sec,Petrol,4,120 Nm,"$15,000"
Volkswagen,Lupo, 1.2L Diesel I4, 1199 cc,60 - 75 hp,170 km/h,14.3 sec,Petrol,4,120 Nm,"$15,000"
Volkswagen,Corrado,2.9L VR6,2861 cc,190 hp,235 km/h,6.4 sec,Petrol,4,245 Nm,"$25,000"
Volkswagen,Phaeton,3.0L V6 Diesel ,2967 cc ,240 - 450 hp,250 km/h,6.1 sec,Petrol,5,560 Nm,"$85,000"
Volkswagen,Phaeton, 6.0L W12 Gas,2967 cc,240 - 450 hp,250 km/h,6.1 sec,Petrol,5,560 Nm,"$85,000"
Volkswagen,Phaeton,3.0L V6 Diesel , 5998 cc,240 - 450 hp,250 km/h,6.1 sec,Petrol,5,560 Nm,"$85,000"
Volkswagen,Phaeton, 6.0L W12 Gas, 5998 cc,240 - 450 hp,250 km/h,6.1 sec,Petrol,5,560 Nm,"$85,000"
Volkswagen,Golf Cabriolet,1.2L I4 Turbo ,1197 cc ,105 - 210 hp,217 km/h,8.4 sec,Petrol,4,200 Nm,"$30,000"
Volkswagen,Golf Cabriolet, 2.0L I4 Turbo,1197 cc,105 - 210 hp,217 km/h,8.4 sec,Petrol,4,200 Nm,"$30,000"
Volkswagen,Golf Cabriolet,1.2L I4 Turbo , 1984 cc,105 - 210 hp,217 km/h,8.4 sec,Petrol,4,200 Nm,"$30,000"
Volkswagen,Golf Cabriolet, 2.0L I4 Turbo, 1984 cc,105 - 210 hp,217 km/h,8.4 sec,Petrol,4,200 Nm,"$30,000"
Volkswagen,Santana,1.5L I4 Gas,1498 cc,110 hp,190 km/h,12.9 sec,Petrol,5,145 Nm,"$15,000"
Volkswagen,Polo Vivo,1.4L I4 Gas ,1390 cc ,85 - 105 hp,170 km/h,10.8 sec,Petrol,5,132 Nm,"$14,000"
Volkswagen,Polo Vivo, 1.6L I4 Gas,1390 cc,85 - 105 hp,170 km/h,10.8 sec,Petrol,5,132 Nm,"$14,000"
Volkswagen,Polo Vivo,1.4L I4 Gas , 1598 cc,85 - 105 hp,170 km/h,10.8 sec,Petrol,5,132 Nm,"$14,000"
Volkswagen,Polo Vivo, 1.6L I4 Gas, 1598 cc,85 - 105 hp,170 km/h,10.8 sec,Petrol,5,132 Nm,"$14,000"
Volkswagen,Karmann Ghia,1.2L I4 Gas,1192 cc,34 - 60 hp,138 km/h,23.0 sec,Petrol,2,106 Nm,"$25,000"
Volkswagen,Fox,1.2L I4 Gas ,1198 cc ,55 - 75 hp,148 km/h,17.5 sec,Petrol,5,93 Nm,"$12,000"
Volkswagen,Fox, 1.4L I4 Gas,1198 cc,55 - 75 hp,148 km/h,17.5 sec,Petrol,5,92 Nm,"$12,000"
Volkswagen,Fox,1.2L I4 Gas , 1390 cc,55 - 75 hp,148 km/h,17.5 sec,Petrol,5,93 Nm,"$12,000"
